Index,Album,Song Name,Lyrics
21,Fearless,Fearless,theres something bout way street looks rained theres glow pavement walk car know wan na ask dance right middle parking lot yeah oh yeah driving road wonder know im trying hard get caught youre cool run hands hair absentmindedly making want dont know gets better take hand drag head first fearless dont know id dance storm best dress fearless baby drive slow til run road one horse town wan na stay right passengers seat put eyes moment capture remember cause dont know gets better take hand drag head first fearless dont know id dance storm best dress fearless well stood doorway hands shake im usually way pull im little brave first kiss flawless really something fearless oh yeah might also like cause dont know gets better take hand drag head first fearless dont know id dance storm best dress fearless cause dont know gets better take hand drag head first fearless dont know id dance storm best dress fearless oh oh oh yeah
22,Fearless,Forever & Always,upon time believe tuesday caught eye caught onto something hold onto night looked eye told loved kidding cause seems thing breaking almost never speak dont feel welcome anymore baby happened please tell cause one second perfect youre halfway door stare phone still hasnt called feel low cant feel nothing flashback said forever always oh rains bedroom everything wrong rains youre rains youre gone cause said forever always line say something way honest made run hide like scared little boy looked eyes thought knew minute im sure heres everything coming nothing heres silence cuts core going thought knew minute dont anymore stare phone still hasnt called feel low cant feel nothing flashback said forever always oh rains bedroom everything wrong rains youre rains youre gone cause said forever always didnt mean baby dont think might also like oh back baby back forget everything back baby back forget everything cause rains bedroom everything wrong rains youre rains youre gone cause said forever always oh stare phone still hasnt called feel low cant feel nothing flashback said forever always rains bedroom everything wrong rains youre rains youre gone cause said forever always didnt mean baby said forever always yeah
23,Fearless,Tell Me Why,took chance took shot might think im bulletproof im took swing took hard ground see im sick tired attitude im feeling like dont know tell love cut need like heartbeat know got mean streak makes run cover youre around heres temper yes remember said last night know see youre tell could write book ruin someones perfect day well get confused frustrated forget im trying say oh im sick tired reasons got one believe tell want push around need like heartbeat know got mean streak makes run cover youre around heres temper yes remember said last night know see youre tell make feel small feel whole inside put dreams youre thing mind im sick tired attitude im feeling like dont know tell want cut im sick tired reasons ive got one believe ask love push around heres temper yes remember said last night know see youre tell tell might also like take step back let go told im bulletproof know
24,Fearless,White Horse,say youre sorry face angel comes need paced back forth time cause honestly believed holdin days drag stupid girl shoulda known shoulda known im princess aint fairytale im one youll sweep feet lead stairwell aint hollywood small town dreamer went let late white horse come around maybe naive got lost eyes never really chance mistake didnt know love fight upper hand many dreams happy endings know im princess aint fairytale im one youll sweep feet lead stairwell aint hollywood small town dreamer went let late white horse come around knees beggin forgiveness beggin like always wanted im sorry cause im princess aint fairytale im gon na find someone someday might actually treat well big world small town rear view mirror disappearing late white horse late white horse catch might also like oh whoa whoa whoa try catch oh late catch
25,Fearless,Breathe,see face mind drive away cause none us thought gon na end way people people sometimes change minds killing see go time music starts playing like end sad movie kind ending dont really wan na see cause tragedy itll bring dont know without around know never simple never easy never clean break one save youre thing know like back hand cant breathe without breathe without never wanted never wan na see hurt every little bump road tried swerve people people sometimes doesnt work nothing say gon na save us fall know never simple never easy never clean break one save youre thing know like back hand cant breathe without breathe without 2 feeling like lost friend hope know easy easy 2 feeling like lost friend hope know aint easy easy might also like know never simple never easy never clean break one save ohoh cant breathe without breathe without breathe without im sorry im sorry mmm im sorry yeah yeah im sorry im sorry im sorry im sorry
26,Fearless,Love Story,young first saw close eyes flashback starts im standing balcony summer air see lights see party ball gowns see make way crowd say hello little know romeo throwing pebbles daddy said stay away juliet crying staircase begging please dont go said romeo take somewhere alone ill waiting theres left run youll prince ill princess love story baby say yes sneak garden see keep quiet cause dead knew close eyes escape town little oh oh cause romeo scarlet letter daddy said stay away juliet everything begging please dont go said romeo take somewhere alone ill waiting theres left run youll prince ill princess love story baby say yes romeo save theyre trying tell feel love difficult real dont afraid well make mess love story baby say yes might also like oh oh got tired waiting wondering ever coming around faith fading met outskirts town said romeo save ive feeling alone keep waiting never come head dont know think knelt ground pulled ring said marry juliet youll never alone love thats really know talked dad go pick white dress love story baby say yes oh oh oh oh oh oh cause young first saw
27,Fearless,You Belong With Me,youre phone girlfriend shes upset shes going something said cause doesnt get humor like im room typical tuesday night im listening kind music doesnt like shell never know story like wears short skirts wear tshirts shes cheer captain im bleachers dreaming bout day wake find youre looking whole time could see im one understands along cant see belong belong walking streets wornout jeans cant help thinking ought laughing park bench thinking hey isnt easy youve got smile could light whole town havent seen since brought say youre fine know better hey whatcha girl like wears high heels wear sneakers shes cheer captain im bleachers dreaming bout day wake find youre looking whole time could see im one understands along cant see belong standing waiting back door time could know baby belong belong might also like oh remember driving house middle night im one makes laugh know youre bout cry know favorite songs tell bout dreams think know belong think know cant see im one understands along cant see belong standing waiting back door time could know baby belong belong belong ever thought maybe belong belong
28,Speak Now,Mine,ohoh ohoh ohoh ohoh college working part time waitin tables left small town never looked back flight risk fear falling wonderin bother love never lasts say believe lyin couch moment could see yes yes see remember sittin water put arm around first time made rebel careless mans careful daughter best thing thats ever mine flash forward takin world together theres drawer things place learn secrets figure im guarded say well never make parents mistakes got bills pay got nothing figured hard take yes yes thought remember sittin water put arm around first time made rebel careless mans careful daughter best thing thats ever mine remember city lights water saw start believe first time made rebel careless mans careful daughter best thing thats ever mine might also like ohoh ohoh remember fight 230am everything slipping right hands ran crying followed street braced goodbye cause thats ive ever known took surprise said ill never leave alone said remember felt sitting water every time look like first time fell love careless mans careful daughter best thing thats ever mine hold make last hold never turn back hold made rebel careless mans careful daughter make last hold best thing thats ever mine hold yes yes believe hold yes yes gon na make hold yes yes see yes yes see
29,Speak Now,Back to December,im glad made time see hows life tell hows family havent seen youve good busier ever small talk work weather guard know last time saw still burned back mind gave roses left die swallowing pride standing front saying im sorry night go back december time turns freedom aint nothing missing wishing id realized mine go back december turn around make alright go back december time days havent sleeping staying playing back leaving birthday passed didnt call think summer beautiful times watched laughing passenger side realized loved fall cold came dark days fear crept mind gave love gave goodbye swallowing pride standing front saying im sorry night go back december time turns freedom aint nothing missing wishing id realized mine go back december turn around change mind go back december time might also like miss tan skin sweet smile good right held arms september night first time ever saw cry maybe wishful thinking probably mindless dreaming loved swear id love right id go back time change cant chain door understand swallowing pride standing front saying im sorry night go back december turns freedom aint nothing missing wishing id realized mine go back december turn around make alright go back december turn around change mind go back december time time
30,Speak Now,Dear John,long nights days revolved around counting footsteps praying floor wont fall mother accused losing mind swore fine paint blue sky go back turn rain lived chess game changed rules everyday wondering version might get phone tonight well stopped pickin song let know dear john see youre gone dont think young messed girl dress cried whole way home shouldve known well maybe blind optimism blame maybe sick need give love take away youll add name long list traitors dont understand look back regret ignored said run fast dear john see youre gone dont think young messed girl dress cried whole way home dear john see wrong dont think nineteens young played dark twisted games loved shouldve known expert sorry keeping lines blurry never impressed acing tests girls youve run dry tired lifeless eyes cause burned took matches fire could catch dont look im shining like fireworks sad empty town oh oh might also like dear john see youre gone dont think young messed girl dress cried whole way home see youre gone dont think young messed girl dress wrote song shouldve known shouldve known dont think young shouldve known
