album_name,track_title,track_n,lyric,line
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,and say hello,7
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,little did i know,8
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,that you were romeo you were throwing pebbles,9
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,and my daddy said stay away from juliet,10
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,and i was crying on the staircase,11
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,begging you please dont go and i said,12
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,romeo take me somewhere we can be alone,13
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,ill be waiting all theres left to do is run,14
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,youll be the prince and ill be the princess,15
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,its a love story baby just say yes,16
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,so i sneak out to the garden to see you,17
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,we keep quiet cause were dead if they knew,18
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,so close your eyes,19
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,escape this town for a little while oh oh,20
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,cause you were romeo i was a scarlet letter,21
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,and my daddy said stay away from juliet,22
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,but you were everything to me,23
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,i was begging you please dont go and i said,24
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,romeo take me somewhere we can be alone,25
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,ill be waiting all theres left to do is run,26
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,youll be the prince and ill be the princess,27
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,its a love story baby just say yes,28
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,romeo save me theyre trying to tell me how to feel,29
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,this love is difficult but its real,30
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,dont be afraid well make it out of this mess,31
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,its a love story baby just say yes,32
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,oh oh,33
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,and i got tired of waiting,34
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,wondering if you were ever coming around,35
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,my faith in you was fading,36
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,when i met you on the outskirts of town,37
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,and i said romeo save me ive been feeling so alone,38
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,i keep waiting for you but you never come,39
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,is this in my head i dont know what to think,40
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,he knelt to the ground and pulled out a ring and said,41
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,marry me juliet youll never have to be alone,42
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,i love you and thats all i really know,43
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,i talked to your dad go pick out a white dress,44
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,its a love story baby just say yes,45
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,oh oh oh,46
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,oh oh oh,47
Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,cause we were both young when i first saw you,48
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,mmmmm mmmm,1
