album_name,track_title,track_n,lyric,line
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,And we know its never simple never easy,11
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,Never a clean break no one here to save me,12
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,Youre the only thing I know like the back of my hand,13
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,And I cant breathe without you but I have to,14
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,Breathe without you but I have to,15
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,Never wanted this never wanna see you hurt,16
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,Every little bump in the road I tried to swerve,17
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,But people are people and sometimes it doesnt work out,18
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,And nothin we say is gonna save us from the fallout,19
Fearless (Taylor’s Version),Breathe (Taylor’s Version),7,And we know its never simple never easy,20
